Law Firm,City,Website,DA Score
Access denied,Alameda,www.ropesgray.com,59
Sucuri WebSite Firewall - Access Denied,Banning,publicdef.co.riverside.ca.us,51
Browse Top Rated Attorney Profiles | Super Lawyers,Berkeley,profiles.superlawyers.com,60
Home - City Attorney of San Francisco,Berkeley,www.sfcityattorney.org,59
Disability Rights Advocates - Advancing equal rights for people with all types of disabilities nationwide.,Berkeley,dralegal.org,54
Welcome!,Berkeley,lflegal.com,51
403 Forbidden,Calabasas,thebloomfirm.com,52
Access denied | www.avvo.com used Cloudflare to restrict access,Carmichael,www.avvo.com,74
Wills Trusts and Estate Law | Scheduling and Booking Website,Cerritos,estatelaw.simplybook.me,62
Sheppard Mullin,Costa Mesa,www.sheppardmullin.com,51
403 Forbidden,Costa Mesa,www.haynesboone.com,57
403 Forbidden,Costa Mesa,kenneylegaldefense.us,54
Home,Costa Mesa,ogletree.com,55
Home | Paul Hastings LLP,Costa Mesa,www.paulhastings.com,57
Columbia Records,Culver City,www.columbiarecords.com,68
Access Denied,El Segundo,www.apollo.com,58
403 Forbidden,Encino,baronandbudd.com,50
"Talend: Healthy Data, Healthy Business - Modern Cloud ETL",Folsom,www.talend.com,64
Access denied,Fremont,www.morganlewis.com,61
Home,Fresno,www.littler.com,63
County of Fresno | Home,Fresno,www.co.fresno.ca.us,59
403 Forbidden,Glendale,www.shouselaw.com,60
Wells Fargo Financial Services & Support,Irvine,www.wellsfargo.com,80
Homepage,Irvine,www.fisherphillips.com,58
StackPath,Irvine,www.womblebonddickinson.com,54
Jackson Lewis,Irvine,www.jacksonlewis.com,58
Home Page,Irvine,www.brownrudnick.com,54
Access denied,Irvine,www.gtlaw.com,59
Just a moment...,Irvine,www.troutman.com,58
Access denied,Irvine,www.dorsey.com,55
Crowell & Moring LLP | International Law Firm,Irvine,www.crowell.com,58
403 Forbidden,Irvine,www.gibsondunn.com,61
THE K&L GATES EXPERIENCE: Our approach to client service.,Irvine,www.klgates.com,60
Boyd Law | Los Angeles,Irvine,www.boydlawlosangeles.com,56
San Bernardino County District Attorney - San Bernardino County District Attorney's Office,Joshua Tree,sbcountyda.org,50
Home | Yurok Tribe,Klamath,www.yuroktribe.org,50
Lockton | Lockton,La Jolla,global.lockton.com,54
Not Acceptable!,Long Beach,michellawyers.com,51
YouTube,Los Angeles,www.youtube.com,100
Access denied,Los Angeles,www.dwt.com,59
"Husch Blackwell: Value-Driven Law Firm Aligned by Industry, Built on Relationships",Los Angeles,www.huschblackwell.com,53
Greenberg Glusker Fields Claman & Machtinger LLP — The Counsel You Keep,Los Angeles,www.greenbergglusker.com,51
403 Forbidden,Los Angeles,www.healthlaw.org,58
Home,Los Angeles,www.afslaw.com,56
Just a moment...,Los Angeles,www.lawa.org,65
,Los Angeles,www.willkie.com,53
Access denied,Los Angeles,www.kirkland.com,59
Home,Los Angeles,www.lw.com,60
403 Forbidden,Los Angeles,www.withersworldwide.com,54
Orrick - Homepage,Los Angeles,www.orrick.com,67
O'Melveny,Los Angeles,www.omm.com,58
L.A. City Attorney Mike Feuer,Los Angeles,www.lacityattorney.org,55
Access denied,Los Angeles,www.venable.com,58
Nixon Peabody LLP,Los Angeles,www.nixonpeabody.com,56
"
	LA Court
",Los Angeles,www.lacourt.org,61
"Quinn Emanuel Trial Lawyers - Quinn Emanuel Urquhart & Sullivan, LLP",Los Angeles,www.quinnemanuel.com,56
Business Law Firm | Barnes & Thornburg,Los Angeles,btlaw.com,52
Access denied,Los Angeles,www.loeb.com,54
Access denied,Los Angeles,www.goodwinlaw.com,54
Public Counsel | Pro Bono Law,Los Angeles,www.publiccounsel.org,57
403 Forbidden,Los Angeles,www.nortonrosefulbright.com,62
"
	The Los Angeles County Bar Association
",Los Angeles,www.lacba.org,50
Access denied,Los Angeles,www.sidley.com,59
Disability Rights California,Los Angeles,www.disabilityrightsca.org,56
Clyde & Co,Los Angeles,www.clydeco.com,56
It’s our business to understand yours - Proskauer Rose LLP,Los Angeles,www.proskauer.com,60
,Los Angeles,ucnrs.org,50
Home,Los Angeles,www.manatt.com,58
Fox Rothschild LLP — Attorneys at Law,Los Angeles,www.foxrothschild.com,60
Home,Los Angeles,www.mcguirewoods.com,57
Public Counsel | Pro Bono Law,Los Angeles,publiccounsel.org,57
Home - Brownstein Hyatt Farber Schreck ,Los Angeles,www.bhfs.com,52
KIND,Los Angeles,supportkind.org,59
Polsinelli,Los Angeles,www.polsinelli.com,51
Homepage — AFJ,Los Angeles,www.afj.org,59
,Los Angeles,www.lockelord.com,54
Access denied,Los Angeles,www.skadden.com,60
MALDEF | Mexican American  Legal Defense and Educational Fund,Los Angeles,www.maldef.org,63
 DLA Piper Global Law Firm,Los Angeles,www.dlapiper.com,66
Perkins Coie LLP,Los Angeles,www.perkinscoie.com,59
Skirball Cultural Center,Los Angeles,www.skirball.org,59
"
	Cozen O’Connor: Full Service Law Firm
",Los Angeles,www.cozen.com,57
Access denied,Los Angeles,www.hklaw.com,60
Access denied,Los Angeles,www.alston.com,57
Pillsbury Winthrop Shaw Pittman,Los Angeles,www.pillsburylaw.com,59
Hogan Lovells,Los Angeles,www.hoganlovells.com,64
"
	Simpson Thacher & Bartlett LLP
",Los Angeles,www.stblaw.com,52
Jenner & Block,Los Angeles,jenner.com,59
Hunton Andrews Kurth LLP,Los Angeles,www.huntonak.com,60
"Top US Injury Attorneys: Asbestos, Drugs & Devices, Environmental",Los Angeles,www.weitzlux.com,50
"
	Thompson Coburn LLP
",Los Angeles,www.thompsoncoburn.com,52
Winston & Strawn,Los Angeles,www.winston.com,58
Access denied,Los Angeles,www.reedsmith.com,62
KPMG US,Los Angeles,www.kpmg.us,63
Access denied,Los Angeles,www.clarkhill.com,52
Seyfarth Shaw LLP,Los Angeles,www.seyfarth.com,57
Home | White & Case LLP,Los Angeles,www.whitecase.com,64
Blank Rome LLP,Los Angeles,www.blankrome.com,57
Home,Los Angeles,www.arentfox.com,54
Milbank LLP,Los Angeles,www.milbank.com,51
Welcome to Duane Morris LLP,Los Angeles,www.duanemorris.com,57
,Los Angeles,www.arnoldporter.com,58
Morrison Foerster,Los Angeles,www.mofo.com,62
Access denied,Los Angeles,www.bakermckenzie.com,66
Mintz | Attorneys | Corporate | Litigation | IP,Los Angeles,www.mintz.com,56
,Los Angeles,www.mwe.com,60
Access denied,Los Angeles,www.mayerbrown.com,62
Wilson Elser Moskowitz Edelman & Dicker LLP – Law Firm,Los Angeles,www.wilsonelser.com,51
Homepage,Los Angeles,www.akerman.com,53
Home,Los Angeles,www.dentons.com,64
Access denied,Los Angeles,www.faegredrinker.com,57
We help clients navigate issues at the intersection of law and policy around the world.,Los Angeles,www.cov.com,60
Wilson Sonsini Goodrich & Rosati,Los Angeles,www.wsgr.com,57
Boies Schiller Flexner,Los Angeles,www.bsfllp.com,55
Access denied,Los Angeles,www.jonesday.com,63
Access denied,Los Angeles,www.ballardspahr.com,57
Fox Rothschild LLP — Attorneys at Law,Los Angeles,foxrothschild.com,60
Nationwide Civil Trial Lawyers | Baum Hedlund Aristei & Goldman,Los Angeles,www.baumhedlundlaw.com,58
Online Boutique for the Misfits & Miss Legits | Dolls Kill,Los Angeles,www.dollskill.com,69
,Los Angeles,www.squirepattonboggs.com,60
 Home,Los Angeles,kilpatricktownsend.com,52
 Home,Menlo Park,www.kilpatricktownsend.com,52
"Merced County, CA - Official Website | Official Website",Merced,www.co.merced.ca.us,54
"Citation Machine®: Format & Generate - APA, MLA, & Chicago",Monterey Park,citationmachine.net,57
"Uncomplicate Data Storage, Forever | Data Storage Company | Pure Storage",Mountain View,www.purestorage.com,61
Samsung,Mountain View,www.sra.samsung.com,93
Homepage,Mountain View,www.fenwick.com,59
"Napa County, CA | Official Website",Napa,www.countyofnapa.org,57
"Nevada County, CA | Official Website",Nevada City,mynevadacounty.com,52
,Newark,www.lucidmotors.com,61
Center for Biological Diversity,Oakland,www.biologicaldiversity.org,74
Sucuri WebSite Firewall - Access Denied,Oakland,www.publicjustice.net,54
403 Forbidden,Oakland,www.equaljusticeworks.org,54
Home — Alameda County District Attorney's Office,Oakland,www.alcoda.org,51
Home | ChangeLab Solutions,Oakland,www.changelabsolutions.org,51
"City of Oceanside, California - Home",Oceanside,www.ci.oceanside.ca.us,55
"
	Butte County > Home
",Oroville,www.buttecounty.net,60
Access denied,Palo Alto,www.foley.com,61
Welcome to WilmerHale,Palo Alto,www.wilmerhale.com,64
 Finnegan | Leading Intellectual Property Law Firm,Palo Alto,www.finnegan.com,54
Lowenstein Sandler LLP | Home | Lowenstein Sandler LLP,Palo Alto,www.lowenstein.com,54
Access Denied,Palo Alto,www.iff.com,57
403 - Forbidden: Access is denied.,Palo Alto,www.bakerbotts.com,53
Home // Cooley // Global Law Firm,Palo Alto,www.cooley.com,57
International Law Firm with Global Reach,Palo Alto,www.allenovery.com,61
,Pasadena,www.cityofpasadena.net,60
Class Action Lawsuits | International Law Firm | Hagens Berman,Pasadena,www.hbsslaw.com,63
"Mortgage Solutions Software, Support & Education | ICE Mortgage Technology | ICE Mortgage Technology",Pleasanton,www.icemortgagetechnology.com,56
An Insurance Company You Can Rely On,Rancho Cordova,www.progressive.com,71
"
	Shasta County
",Redding,www.co.shasta.ca.us,56
City of Redding | Home,Redding,www.cityofredding.org,53
"Weil, Gotshal & Manges - Weil, Gotshal & Manges LLP",Redwood City,www.weil.com,57
Kramer Levin Naftalis & Frankel LLP,Redwood City,www.kramerlevin.com,55
Home - Freshfields - United States (US) Law Firm,Redwood City,www.freshfields.us,53
403 Forbidden,Riverside,www.riziolawfirm.com,62
"JAMS: Mediation, Arbitration and ADR Services",Riverside,www.jamsadr.com,71
Home,Rosemead,www.sce.com,65
"
	Stoel Rives LLP Attorneys - A Leading U.S. Law Firm | Stoel Rives LLP
",Sacramento,www.stoel.com,51
Covered California™ | The Official Site of California's Health Insurance Marketplace,Sacramento,www.coveredca.com,65
"
	
	Public Defender, County of Sacramento, California, USA 

",Sacramento,publicdefender.saccounty.net,62
Facebook - log in or sign up,Sacramento,www.facebook.com,96
Speaker Anthony Rendon Representing the 63rd California Assembly District,Sacramento,speaker.asmdc.org,64
CEA - Home,Sacramento,www.earthquakeauthority.com,53
"Monterey County, CA | Home",Salinas,www.co.monterey.ca.us,60
San Bernardino County District Attorney - San Bernardino County District Attorney's Office,San Bernardino,www.sbcountyda.org,50
Home Page - San Diego County District Attorney,San Diego,www.sdcda.org,51
Employment Law and Financial Services Litigation Firm,San Diego,www.sanfordheisler.com,50
Nelson Mullins - Homepage,San Diego,www.nelsonmullins.com,50
Robbins Geller Rudman & Dowd LLP,San Diego,www.rgrdlaw.com,57
Perkins Coie LLP,San Diego,perkinscoie.com,59
Request Rejected,San Diego,www.secnav.navy.mil,89
404 - Page not found | Buchanan Ingersoll & Rooney PC,San Diego,www.bipc.com,50
ERROR: The request could not be satisfied,San Diego,www.jag.navy.mil,89
Wireless Technology & Innovation | Mobile Technology | Qualcomm,San Diego,www.qualcomm.com,85
San Diego Personal Injury Attorney | Defense Base Act | San,San Diego,bennerlawfirm.com,57
Coming Soon,San Diego,californiainnocenceproject.org,55
Free Online Appointment Scheduling Software | Calendly,San Diego,calendly.com,85
Splunk | The Data Platform for the Hybrid World,San Francisco,www.splunk.com,82
Home,San Francisco,www.sfdistrictattorney.org,57
Federal Reserve Bank of San Francisco,San Francisco,www.frbsf.org,73
States United Democracy Center,San Francisco,statesuniteddemocracy.org,51
A law firm built around people,San Francisco,www.fieldfisher.com,57
Home,San Francisco,quantcast.com,90
A National Law Firm with a Global Reach | BakerHostetler,San Francisco,www.bakerlaw.com,59
"Paul, Weiss",San Francisco,www.paulweiss.com,56
Home,San Francisco,sfdistrictattorney.org,57
"CBIZ, Inc. – Your Team. Accounting | Insurance | Advisory",San Francisco,www.cbiz.com,56
Advancing Justice - Asian Law Caucus | Home,San Francisco,www.advancingjustice-alc.org,52
Home | Munich Re,San Francisco,www.munichre.com,69
Steptoe,San Francisco,www.steptoe.com,59
403 Forbidden,San Francisco,constantinecannon.com,50
Customer Engagement Platform,San Francisco,www.braze.com,61
,San Francisco,www.debevoise.com,57
Akin Gump Strauss Hauer & Feld LLP,San Francisco,www.akingump.com,58
The ACLU of Northern California,San Francisco,www.aclunc.org,69
Just a moment...,San Francisco,www.clarkconstruction.com,50
The leading global independent investment bank,San Francisco,www.evercore.com,53
Access denied,San Jose,www.velaw.com,53
,San Jose,www.bloomenergy.com,59
Alameda County Public Health Department,San Leandro,acphd.org,58
"PlayStation® Official Site: Consoles, Games, Accessories & More",San Mateo,www.playstation.com,93
"Wikipedia, the free encyclopedia",San Mateo,en.wikipedia.org,98
Access denied,San Rafael,www.drinkerbiddle.com,51
"
	Marin County
",San Rafael,www.marincounty.org,60
,Santa Ana,orangecountyda.org,57
,Santa Ana,www.orangecountyda.org,57
The Superior Court of California - County of Orange,Santa Ana,www.occourts.org,55
Chevron Corporation - Human Energy,Santa Ana,www.chevron.com,74
"Santa Barbara County, CA - Official Website | Official Website",Santa Barbara,www.countyofsb.org,63
Just a moment...,Santa Monica,buckleyfirm.com,52
Home,Santa Monica,www.bclplaw.com,59
Blockchain.com - The Most Trusted Crypto Company,Santa Monica,www.blockchain.com,81
Stanford Health Care (SHC) – (formerly Stanford Hospital & Clinics),Stanford,stanfordhealthcare.org,68
,Sunnyvale,www.dickinson-wright.com,50
VoIP Phone Services - #1 VoIP for Business and Home,Sunnyvale,www.ooma.com,60
403 Forbidden,Tustin,www.wklaw.com,52
"Mendocino County, CA | Home",Ukiah,www.mendocinocounty.org,54
Home,Walnut Creek,www.stewart.com,55
City of West Hollywood | Home,West Hollywood,www.weho.org,61
Yolo County | Home,Woodland,www.yolocounty.org,56