#,Page,DA,PA,SS,MR,Index Pages
1,www.ohshlaw.com,11,26,5,2.6,🗎
2,www.everviewlaw.com,1,3,0,0.3,🗎
3,farmercase.com,19,26,12,2.6,🗎
4,www.strausmeyers.com,14,23,0,2.3,🗎
5,www.taylorcopelandlaw.com,22,28,0,2.8,🗎
6,www.contreraslawfirm.com,29,34,2,3.4,🗎
7,altman.law,8,25,1,2.5,🗎
8,damianilawgroup.com,18,30,6,3,🗎
9,albblaw.com,21,31,7,3.1,🗎
10,wilsongetty.com,9,25,12,2.5,🗎
11,divorcesd.com,14,32,1,3.2,🗎
12,www.cktfmlaw.com,23,32,4,3.2,🗎
13,www.as7law.com,27,24,0,2.4,🗎
14,www.san-diego-auto-accident-lawyer.com,9,16,0,1.6,🗎
15,bennerlawfirm.com,57,39,1,3.9,🗎
16,buhalaw.com,21,25,4,2.5,🗎
17,www.candslaw.net,14,22,7,2.2,🗎
18,californiainnocenceproject.org,55,46,1,4.6,🗎
19,www.kts-law.com,33,42,16,4.2,🗎
20,www.pacificaseniorliving.com,38,43,1,4.3,🗎
1,www.thegomezfirm.com,38,45,1,4.5,🗎
2,schulmanatlaw.com,1,1,0,0.1,🗎
3,kirbycriminallawyer.com,14,32,0,3.2,🗎
4,restislaw.com,37,33,0,3.3,🗎
5,thevclawgroup.com,12,25,0,2.5,🗎
6,www.slgip.com,6,19,11,1.9,🗎
7,www.smithfamilylaw.com,17,26,25,2.6,🗎
8,www.dpmclaw.com,15,26,23,2.6,🗎
9,www.sandiegoflatfeedivorcelawyer.com,3,10,4,1,🗎
10,sandiegoevictions.com,14,26,2,2.6,🗎
11,burnstheattorney.com,30,29,0,2.9,🗎
12,josefinacarrillo.wixsite.com,4,4,0,0.4,🗎
13,www.corydelellislaw.com,14,29,1,2.9,🗎
14,www.thesdlawyers.com,10,24,0,2.4,🗎
15,www.firstfoundationinc.com,43,43,1,4.3,🗎
16,www.theddcfirm.com,15,17,1,1.7,🗎
17,www.boydlawapc.com,15,29,1,2.9,🗎
18,www.californiaelderabuselawyer.com,25,33,1,3.3,🗎
19,familieslaw.com,1,1,0,0.1,🗎
20,ctsclaw.com,18,33,2,3.3,🗎
1,www.solvenergy.com,30,31,1,3.1,🗎
2,www.neildymott.com,28,36,1,3.6,🗎
3,minellalawgroup.com,30,34,2,3.4,🗎
4,www.gordonrees.com,44,49,1,4.9,🗎
5,findleyinjurylaw.com,3,6,0,0.6,🗎
6,www.sdlaborlaw.com,11,21,1,2.1,🗎
7,www.mitchelllawcorp.com,20,30,3,3,🗎
8,tremblaybecklaw.com,9,30,0,3,🗎
9,www.dplawca.com,6,21,16,2.1,🗎
10,lynchcarpenter.com,25,22,0,2.2,🗎
11,sandiegoimmigrationlawoffice.com,4,17,1,1.7,🗎
12,thebrownlawfirm.com,9,16,5,1.6,🗎
13,elialaw.com,26,34,1,3.4,🗎
14,www.decastropc.com,8,22,15,2.2,🗎
15,gbclaw.net,21,39,71,3.9,🗎
16,franklinsoto.law,15,30,1,3,🗎
17,www.atvirtualcounsel.com,14,26,1,2.6,🗎
18,www.jfssd.org,46,46,1,4.6,🗎
19,www.warrenfamilylawfirm.com,15,25,1,2.5,🗎
20,golchinlaw.com,7,21,1,2.1,🗎
1,www.freetothrive.org,25,30,0,3,🗎
2,www.sandiegodivorceadvocates.com,14,27,1,2.7,🗎
3,www.sevenslegal.com,35,39,0,3.9,🗎
4,sddefenseattorneys.com,27,36,21,3.6,🗎
5,pricepelletier.com,11,23,1,2.3,🗎
6,wolfsdorf.com,38,41,5,4.1,🗎
7,www.qualcomm.com,85,69,7,6.9,🗎
8,californialivingtrusts.com,21,36,1,3.6,🗎
9,potente.com,4,22,1,2.2,🗎
10,northcounty.attorney,9,20,1,2,🗎
11,www.gsmiweb.com,31,47,5,4.7,🗎
12,www.secnav.navy.mil,89,59,4,5.9,🗎
13,perkinscoie.com,59,51,1,5.1,🗎
14,www.hamparyan.com,32,40,1,4,🗎
15,www.estateplanninglegalcenter.com,8,20,1,2,🗎
16,appealfirm.com,6,16,1,1.6,🗎
17,www.guptalc.com,18,37,0,3.7,🗎
18,abieslaw.com,1,1,0,0.1,🗎
19,www.murchisonlaw.com,34,37,16,3.7,🗎
20,www.thetaxlawyer.com,31,31,4,3.1,🗎
1,www.workerscompensationattorneysandiego.net,12,27,6,2.7,🗎
2,wanghardoon.com,1,1,3,0.1,🗎
3,www.g10law.com,18,11,0,1.1,🗎
4,harlanpc.com,15,33,0,3.3,🗎
5,www.saxenawhite.com,24,36,1,3.6,🗎
6,swsslaw.com,32,34,0,3.4,🗎
7,www.innovativeemployeesolutions.com,39,43,1,4.3,🗎
8,www.iredalecriminaldefense.com,11,17,1,1.7,🗎
9,honemaxwell.com,20,33,2,3.3,🗎
10,www.pestotnik.com,16,24,5,2.4,🗎
11,www.kazlg.com,31,36,1,3.6,🗎
12,induspacificlaw.com,6,10,0,1,🗎
13,www.jimenezemploymentlaw.com,1,9,0,0.9,🗎
14,www.johnsonheeder.com,22,9,6,0.9,🗎
15,ferrettiatlaw.com,6,10,3,1,🗎
16,www.immigrateme.com,29,37,0,3.7,🗎
17,milberg.com,49,40,1,4,🗎
18,www.sterlinglawgroup.com,7,23,2,2.3,🗎
19,www.gittelmanlaw.com,9,20,1,2,🗎
20,brandonsmithlaw.com,3,8,7,0.8,🗎
1,jwbfamilylaw.com,26,34,3,3.4,🗎
2,www.rszlaw.net,2,14,2,1.4,🗎
3,www.tbmlawyers.com,19,33,2,3.3,🗎
4,www.plbklaw.com,3,10,2,1,🗎
5,syndicationlawgroup.com,8,29,6,2.9,🗎
6,www.tlp-sd.com,1,1,0,0.1,🗎
7,howardloeblaw.com,8,16,0,1.6,🗎
8,www.hcl-lawfirm.com,8,19,4,1.9,🗎
9,higgslaw.com,39,39,4,3.9,🗎
10,steffanalazerowlaw.com,2,4,1,0.4,🗎
11,www.adrservices.org,34,46,0,4.6,🗎
12,www.kohler.legal,20,33,2,3.3,🗎
13,www.pamelakleinkauf.com,12,20,6,2,🗎
14,pilotlawcorp.com,13,32,0,3.2,🗎
15,www.mazzarellalaw.com,21,31,2,3.1,🗎
16,www.kruismediation.com,13,22,11,2.2,🗎
17,haelaw.com,37,34,1,3.4,🗎
18,www.mattesonfamilylaw.net,5,12,0,1.2,🗎
19,www.libertylawyers.com,23,35,1,3.5,🗎
20,www.jag.navy.mil,89,62,4,6.2,🗎
1,familylawyer-sandiego.com,8,17,17,1.7,🗎
2,www.jlg-iplaw.com,10,28,1,2.8,🗎
3,www.clssandiego.org,18,26,1,2.6,🗎
4,www.caraccidentlawyerdan.com,12,26,1,2.6,🗎
5,www.burtonkelley.com,1,14,0,1.4,🗎
6,www.lajollabluebook.com,35,48,4,4.8,🗎
7,fdsdi.com,33,38,46,3.8,🗎
8,findlegaladvice.org,25,39,1,3.9,🗎
9,www.expertprobatelaw.com,3,11,0,1.1,🗎
10,www.bipc.com,50,49,1,4.9,🗎
11,www.expertdivorcelaw.com,25,33,0,3.3,🗎
12,www.manfredapc.com,9,22,1,2.2,🗎
13,morrisonurena.com,16,22,1,2.2,🗎
14,www.sandiegodui.com,22,32,1,3.2,🗎
15,navarrolawfirm.com,16,26,1,2.6,🗎
16,caseygerry.com,31,38,1,3.8,🗎
17,www.thenalanlawfirm.com,3,5,0,0.5,🗎
18,www.millerandjameslaw.com,17,27,1,2.7,🗎
19,mellorlawfirm.net,9,14,29,1.4,🗎
20,mcnifflaw.com,4,16,5,1.6,🗎
1,www.sandiegodivorcelawyerhelp.com,26,35,1,3.5,🗎
2,1900law.com,32,30,7,3,🗎
3,www.dinsmore.com,45,52,1,5.2,🗎
4,www.fullerlawgroup.co,3,21,0,2.1,🗎
5,www.cageandmiles.com,20,30,1,3,🗎
6,delmoregreene.com,2,15,0,1.5,🗎
7,www.rgrdlaw.com,57,47,6,4.7,🗎
8,briertonjones.com,19,27,5,2.7,🗎
9,smslawfirm.us,10,23,4,2.3,🗎
10,www.bpslawsd.com,13,25,1,2.5,🗎
11,www.vdalaw.com,19,30,1,3,🗎
12,www.sandiegolawyerworkcomp.com,19,27,1,2.7,🗎
13,plbklaw.com,3,8,2,0.8,🗎
14,www.topfloorlegal.com,21,21,59,2.1,🗎
15,www.mmpph.com,16,27,0,2.7,🗎
16,hbmlawgroup.com,11,12,9,1.2,🗎
17,smcdslaw.com,6,15,28,1.5,🗎
18,www.shufirm.com,27,36,5,3.6,🗎
19,www.annayumlaw.com,23,40,1,4,🗎
20,www.davidpshapirolaw.com,36,40,0,4,🗎
1,www.mckenziescott.com,10,21,73,2.1,🗎
2,seanwestlaw.com,1,1,0,0.1,🗎
3,www.sandiegolawyeroffices.com,4,17,7,1.7,🗎
4,battafulkerson.com,27,38,0,3.8,🗎
5,noonanlance.com,14,28,0,2.8,🗎
6,sullivanhill.com,20,34,3,3.4,🗎
7,www.sandiegotrialattorneys.com,19,32,1,3.2,🗎
8,www.hortonfirm.com,13,28,10,2.8,🗎
9,www.pandf.us,15,33,49,3.3,🗎
10,www.schwartzsemerdjian.com,26,30,17,3,🗎
11,www.larrabee.com,16,33,1,3.3,🗎
12,www.autofraudlegalcenter.com,23,35,0,3.5,🗎
13,rectorlaw.net,3,11,2,1.1,🗎
14,starkdambrosio.com,10,29,1,2.9,🗎
15,www.rogerssmithlaw.com,1,1,0,0.1,🗎
16,www.sdcda.org,51,47,3,4.7,🗎
17,sdvlp.org,39,35,1,3.5,🗎
18,wingertlaw.com,20,32,1,3.2,🗎
19,www.caseygerry.com,31,37,1,3.7,🗎
20,www.ritterlaw.com,10,22,0,2.2,🗎
1,www.mulvaneybarry.com,17,25,0,2.5,🗎
2,www.rezniklawgroup.com,14,22,1,2.2,🗎
3,www.nietorlaw.com,9,25,40,2.5,🗎
4,www.nelsonmullins.com,50,50,1,5,🗎
5,www.yblaw.com,10,23,0,2.3,🗎
6,www.sullivanlawsd.com,8,21,2,2.1,🗎
7,ssmsjustice.com,15,30,1,3,🗎
8,theddcfirm.com,15,17,1,1.7,🗎
9,thehouseofworkcomp.com,23,35,0,3.5,🗎
10,www.wilsonturnerkosmo.com,30,34,1,3.4,🗎
11,www.sullivanattorneys.com,25,36,1,3.6,🗎
12,www.caufieldjames.com,22,29,1,2.9,🗎
13,sdlegalinjury.com,8,18,3,1.8,🗎
14,www.lassd.org,39,46,28,4.6,🗎
15,ferrarovega.com,19,34,0,3.4,🗎
16,potterhandyemployment.com,8,26,2,2.6,🗎
17,www.taitlawfirm.com,5,12,0,1.2,🗎
18,www.sanfordheisler.com,50,40,1,4,🗎
19,www.pattersonsheridan.com,36,40,1,4,🗎
20,www.msmfamilylaw.com,34,33,1,3.3,🗎
1,www.meyersnave.com,33,40,34,4,🗎
2,www.ericksonlaw.com,11,26,8,2.6,🗎
3,www.sandiegowilltrust.com,6,14,0,1.4,🗎
4,www.sandiegoelderlaw.com,23,34,1,3.4,🗎
5,swanemploymentlaw.com,10,25,4,2.5,🗎
6,amandathompsonlaw.com,8,25,4,2.5,🗎
7,www.gp-iplaw.com,5,11,0,1.1,🗎
8,thecorporateattorneys.com,15,24,2,2.4,🗎
9,scmv.com,31,35,6,3.5,🗎
10,www.whafh.com,46,40,1,4,🗎
11,www.clerkinlaw.com,18,27,8,2.7,🗎
12,lawofficeofmargaritakarasikmcgee.com,2,5,0,0.5,🗎
13,www.prg.com,51,51,1,5.1,🗎
14,jubileelegal.org,19,32,0,3.2,🗎
15,www.coblentzlaw.com,34,40,2,4,🗎
16,www.dollylaw.com,1,1,0,0.1,🗎
17,www.homebaseccc.org,35,37,1,3.7,🗎
18,www.conradmetlitzky.com,14,19,0,1.9,🗎
19,www.akaylaw.com,14,30,1,3,🗎
20,www.callawayandwolf.com,31,34,0,3.4,🗎
1,boucher.la,26,31,9,3.1,🗎
2,www.millerkaplan.com,36,43,1,4.3,🗎
3,www.vedderprice.com,40,45,3,4.5,🗎
4,www.hosielaw.com,15,26,0,2.6,🗎
5,www.hinshawlaw.com,49,51,3,5.1,🗎
6,kobrekim.com,42,43,4,4.3,🗎
7,craigdavislaw.com,4,12,10,1.2,🗎
8,www.clarkconstruction.com,50,54,1,5.4,🗎
9,legalimpactforchickens.org,34,25,22,2.5,🗎
10,vhpmlaw.com,15,18,1,1.8,🗎
11,laesf.org,28,33,1,3.3,🗎
12,www.potterhandy.com,26,36,1,3.6,🗎
13,millsteinfellner.com,10,9,13,0.9,🗎
14,costinlawfirm.com,7,27,0,2.7,🗎
15,chyliklaw.com,5,16,1,1.6,🗎
16,landslawgroup.com,16,28,1,2.8,🗎
17,www.adamsmartingroup.com,27,37,2,3.7,🗎
18,www.representmyinjury.com,9,18,1,1.8,🗎
19,risselllawfirm.com,1,1,0,0.1,🗎
20,attorneypersonalinjuries.com,2,8,0,0.8,🗎
1,www.rublaw.com,7,12,53,1.2,🗎
2,bit.ly,94,87,0,8.7,🗎
3,hugoparker.com,8,21,5,2.1,🗎
4,www.bfesf.com,15,25,7,2.5,🗎
5,www.tectoniclaw.com,8,11,1,1.1,🗎
6,www.kaufholdgaskin.com,17,23,20,2.3,🗎
7,www.psalaw.net,18,30,5,3,🗎
8,www.saverilawfirm.com,34,33,2,3.3,🗎
9,doorvest.com,27,40,3,4,🗎
10,www.alrp.org,34,43,1,4.3,🗎
11,www.goughhancock.com,5,18,23,1.8,🗎
12,www.aclunc.org,69,53,1,5.3,🗎
13,www.vblaw.com,22,36,6,3.6,🗎
14,rachelle-chong.strikingly.com,86,49,1,4.9,🗎
15,ullawfirm.com,8,18,3,1.8,🗎
16,iibayarea.org,38,40,0,4,🗎
17,paragonlegal.com,27,35,3,3.5,🗎
18,www.braze.com,61,53,2,5.3,🗎
19,www.calg.com,6,11,45,1.1,🗎
20,www.apilegaloutreach.org,39,41,1,4.1,🗎
1,www.sheredling.com,42,33,1,3.3,🗎
2,schlifferlaw.com,11,24,1,2.4,🗎
3,immlawsf.com,7,20,60,2,🗎
4,www.franklinlawsf.com,6,16,22,1.6,🗎
5,briscoelaw.net,22,33,19,3.3,🗎
6,www.follett-law.com,7,17,0,1.7,🗎
7,www.debevoise.com,57,54,13,5.4,🗎
8,ipiphanygroup.wordpress.com,4,10,0,1,🗎
9,www.tradelawcounsel.com,18,25,0,2.5,🗎
10,www.gmsr.com,28,38,1,3.8,🗎
11,mpbf.com,26,36,1,3.6,🗎
12,lewisllewellyn.com,24,33,1,3.3,🗎
13,jobelaw.com,24,34,4,3.4,🗎
14,www.golawcorp.com,10,25,1,2.5,🗎
15,www.akingump.com,58,55,1,5.5,🗎
16,www.gkhs.com,18,28,12,2.8,🗎
17,gerilynngreen.com,4,26,1,2.6,🗎
18,www.levinsimes.com,40,35,1,3.5,🗎
19,about.facebook.com,96,87,1,8.7,🗎
20,www.sflaw.com,27,37,1,3.7,🗎
1,gabel-law-firm.com,7,26,0,2.6,🗎
2,stoll-law.com,21,32,1,3.2,🗎
3,www.longlevit.com,26,33,1,3.3,🗎
4,www.il-lawpc.com,4,13,0,1.3,🗎
5,www.blaxterlaw.com,5,13,0,1.3,🗎
6,rennepubliclawgroup.com,38,33,0,3.3,🗎
7,www.kdvlaw.com,33,39,0,3.9,🗎
8,www.alperenlaw.com,8,17,12,1.7,🗎
9,www.kgf-lawfirm.com,12,25,0,2.5,🗎
10,www.advancingjustice-alc.org,52,47,14,4.7,🗎
11,www.leclerclaw.com,15,25,2,2.5,🗎
12,www.diamondmccarthy.com,26,37,4,3.7,🗎
13,www.lpslaw.com,20,34,3,3.4,🗎
14,www.dhillonlaw.com,49,43,0,4.3,🗎
15,www.moradisaslaw.com,24,32,1,3.2,🗎
16,cacoastkeeper.org,41,39,1,3.9,🗎
17,sfpublicdefender.org,47,43,1,4.3,🗎
18,www.pangealegal.org,38,37,0,3.7,🗎
19,www.wolfsdorf.com,38,40,5,4,🗎
20,www.tahbazoflawfirm.com,1,5,0,0.5,🗎
1,hulsthandler.com,3,5,0,0.5,🗎
2,constantinecannon.com,50,43,1,4.3,🗎
3,www.dolanlawfirm.com,41,39,0,3.9,🗎
4,salgadoandassociates.com,5,12,1,1.2,🗎
5,www.kblfirm.com,16,24,0,2.4,🗎
6,corporateimmigrationpartners.com,34,36,1,3.6,🗎
7,www.rabkinlaw.com,1,1,49,0.1,🗎
8,apexfamilylaw.com,9,28,5,2.8,🗎
9,www.tl4j.com,22,37,1,3.7,🗎
10,www.keker.com,42,38,10,3.8,🗎
11,adibiip.com,10,25,1,2.5,🗎
12,www.steptoe.com,59,54,1,5.4,🗎
13,www.siliconlegal.com,31,33,14,3.3,🗎
14,bayareacrimlaw.com,21,28,1,2.8,🗎
15,cwlfirm.com,23,31,1,3.1,🗎
16,www.leighlawgroup.com,27,33,1,3.3,🗎
17,www.nclwlaw.com,7,14,0,1.4,🗎
18,cofolaw.com,22,27,9,2.7,🗎
19,onejustice.org,34,39,1,3.9,🗎
20,dldllp.com,10,29,5,2.9,🗎
1,www.acbanet.org,40,44,1,4.4,🗎
2,www.paulweiss.com,56,52,1,5.2,🗎
3,www.woodllp.com,49,46,66,4.6,🗎
4,www.cwlfirm.com,23,27,1,2.7,🗎
5,www.nossaman.com,41,44,2,4.4,🗎
6,www.tobenerlaw.com,33,40,1,4,🗎
7,www.veenfirm.com,32,36,3,3.6,🗎
8,workenvirolaw.com,15,21,2,2.1,🗎
9,dlphlaw.com,21,26,14,2.6,🗎
10,dergnoah.com,25,32,1,3.2,🗎
11,www.srsacquiom.com,32,41,6,4.1,🗎
12,www.eko.law,15,26,0,2.6,🗎
13,emvisa.com,18,30,1,3,🗎
14,www.tanyagomerman.com,12,28,3,2.8,🗎
15,www.sfcriminallawspecialist.com,33,36,0,3.6,🗎
16,www.frbsf.org,73,61,1,6.1,🗎
17,frankscottmoore.com,8,25,0,2.5,🗎
18,skyunlimited.law,10,30,4,3,🗎
19,wattsguerra.com,31,36,1,3.6,🗎
20,www.splunk.com,82,65,2,6.5,🗎
1,www.scalefirm.com,14,29,10,2.9,🗎
2,www.evercore.com,53,50,2,5,🗎
3,www.jordanotis.com,1,5,0,0.5,🗎
4,lrcl.org,32,34,7,3.4,🗎
5,www.shaperolawfirm.com,5,20,0,2,🗎
6,www.girardsharp.com,35,34,1,3.4,🗎
7,www.phillaw.com,20,31,0,3.1,🗎
8,www.truckerhuss.com,32,36,2,3.6,🗎
9,www.atherialaw.com,10,20,0,2,🗎
10,www.cleanenergycounsel.com,17,25,28,2.5,🗎
11,www.industryventures.com,41,43,2,4.3,🗎
12,www.munichre.com,69,59,1,5.9,🗎
13,www.sfdeportdefense.org,20,21,0,2.1,🗎
14,www.rftmlaw.com,31,38,1,3.8,🗎
15,www.bzbm.com,24,31,1,3.1,🗎
16,www.sfdistrictattorney.org,57,46,1,4.6,🗎
17,www.vondranlegal.com,40,41,1,4.1,🗎
18,www.bleyandbley.com,15,25,0,2.5,🗎
19,www.sucherman-insalaco.com,14,27,14,2.7,🗎
20,hedinhall.com,10,30,15,3,🗎
1,www.skanewilcox.com,21,27,28,2.7,🗎
2,www.wisedefense.com,15,24,67,2.4,🗎
3,www.rebeccayoung4publicdefender.com,1,1,0,0.1,🗎
4,www.soundlawsf.com,3,13,7,1.3,🗎
5,www.tittmannweix.com,6,20,1,2,🗎
6,www.axinn.com,35,35,16,3.5,🗎
7,gammalaw.com,39,40,1,4,🗎
8,www.ddrs.com,16,29,12,2.9,🗎
9,sarkar.law,2,13,0,1.3,🗎
10,www.almanacip.com,4,18,35,1.8,🗎
11,quantcast.com,90,67,2,6.7,🗎
12,www.legalpriorities.org,20,28,5,2.8,🗎
13,opendoorlegal.org,30,34,0,3.4,🗎
14,statesuniteddemocracy.org,51,43,1,4.3,🗎
15,psalaw.net,18,33,5,3.3,🗎
16,www.fieldfisher.com,57,50,2,5,🗎
17,brianlarsenlawoffices.com,1,12,5,1.2,🗎
18,www.fomlaw.com,11,28,53,2.8,🗎
19,www.bdlaw.com,45,47,2,4.7,🗎
20,wolford-wayne.com,23,32,2,3.2,🗎
1,www.cbiz.com,56,55,1,5.5,🗎
2,www.cwclaw.com,31,37,6,3.7,🗎
3,www.skootskyder.com,12,26,62,2.6,🗎
4,www.desmaraisllp.com,22,32,28,3.2,🗎
5,www.smithshapourian.com,17,32,4,3.2,🗎
6,losch-ehrlich.com,9,17,11,1.7,🗎
7,www.bakerlaw.com,59,55,1,5.5,🗎
8,villa.law,3,5,0,0.5,🗎
9,matejkamarketing.com,14,28,0,2.8,🗎
10,www.thclinic.org,38,40,17,4,🗎
11,www.hkemploymentlaw.com,29,34,1,3.4,🗎
12,www.watsonmachado.com,11,21,0,2.1,🗎
13,sfdistrictattorney.org,57,45,1,4.5,🗎
14,www.tullerlaw.com,18,23,8,2.3,🗎
15,www.coinbase.com,91,73,1,7.3,🗎
16,www.fbm.com,39,44,13,4.4,🗎
17,www.velaw.com,53,53,1,5.3,🗎
18,mosaiclawusa.com,11,27,7,2.7,🗎
19,ferglawgroup.com,6,33,0,3.3,🗎
20,www.haleslawfirm.com,17,27,3,2.7,🗎
1,www.aeschlemanlaw.com,32,35,4,3.5,🗎
2,zilkakotab.com,11,23,17,2.3,🗎
3,www.suttonhague.com,28,33,1,3.3,🗎
4,linalaw.com,11,30,1,3,🗎
5,www.jameschaulaw.com,14,29,4,2.9,🗎
6,castorenalaw.com,6,13,0,1.3,🗎
7,www.platinum-ip.com,9,22,2,2.2,🗎
8,www.jessieserna.com,12,28,5,2.8,🗎
9,www.greenfieldlaw.com,8,25,2,2.5,🗎
10,www.seabrooklawoffices.com,18,28,1,2.8,🗎
11,www.ndwe.com,11,19,16,1.9,🗎
12,www.viplawgroup.com,17,27,57,2.7,🗎
13,robertgreeleylaw.com,11,18,11,1.8,🗎
14,www.ferrarilawpartners.com,19,32,1,3.2,🗎
15,www.camelialaw.com,17,28,51,2.8,🗎
16,www.russellhanlon.com,12,27,2,2.7,🗎
17,www.hansenlawfirm.net,8,25,4,2.5,🗎
18,www.lawrf.com,18,27,0,2.7,🗎
19,www.stevenpoguelaw.com,10,26,43,2.6,🗎
20,www.skinnerlawgroupca.com,5,15,0,1.5,🗎
